pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Palkia,484,734,Spatial Pokemon,4.2,336,Water,Dragon,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Telepathy,Anticipates an ally's attack and dodges it.,90,120,100,150,120,100,680
Heatran,485,735,Lava Dome Pokemon,1.7,430,Fire,Steel,,,Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,,,Flame Body,Contact with the Pokemon may burn the attacker.,91,90,106,130,106,77,600
Regigigas,486,736,Colossal Pokemon,3.7,420,Normal,,,,Slow Start,"For five turns, the Pokemon's Attack and Speed stats are halved.",,,,,110,160,110,80,110,100,670
Giratina,487,737,Renegade Pokemon,4.5,750,Ghost,Dragon,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Telepathy,Anticipates an ally's attack and dodges it.,150,100,120,100,120,90,680
Giratina,487,1401,Renegade Pokemon,6.9,650,Ghost,Dragon,,,Levitate,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",,,,,150,120,100,120,100,90,680
Cresselia,488,738,Lunar Pokemon,1.5,85.6,Psychic,,,,Levitate,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",,,,,120,70,110,75,120,85,580
Phione,489,36,Sea Drifter Pokemon,0.4,3.1,Water,,,,Hydration,Heals status conditions if it's raining.,,,,,80,80,80,80,80,80,480
Manaphy,490,37,Seafaring Pokemon,0.3,1.4,Water,,,,Hydration,Heals status conditions if it's raining.,,,,,100,100,100,100,100,100,600
Darkrai,491,739,Pitch-Black Pokemon,1.5,50.5,Dark,,,,Bad Dreams,Reduces the HP of sleeping opposing Pokemon.,,,,,70,90,90,135,90,125,600
Shaymin,492,740,Gratitude Pokemon,0.2,2.1,Grass,,,,Natural Cure,All status conditions heal when the Pokemon switches out.,,,,,100,100,100,100,100,100,600
Shaymin,492,1407,Gratitude Pokemon,0.4,5.2,Grass,Flying,,,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,,,,,100,103,75,120,75,127,600
Arceus,493,741,Alpha Pokemon,3.2,320,Normal,,,,Multitype,Changes the Pokemon's type to match the Plate or Z-Crystal it holds.,,,,,120,120,120,120,120,120,720
Victini,494,742,Victory Pokemon,0.4,4,Psychic,Fire,,,Victory Star,Boosts the accuracy of its allies and itself.,,,,,100,100,100,100,100,100,600
Snivy,495,829,Grass Snake Pokemon,0.6,8.1,Grass,,,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,45,45,55,45,55,63,308
Servine,496,830,Grass Snake Pokemon,0.8,16,Grass,,829,Level 17,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,60,60,75,60,75,83,413
Serperior,497,831,Regal Pokemon,3.3,63,Grass,,830,Level 36,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,75,75,95,75,95,113,528
Tepig,498,832,Fire Pig Pokemon,0.5,9.9,Fire,,,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",65,63,45,45,45,45,308
Pignite,499,833,Fire Pig Pokemon,1,55.5,Fire,Fighting,832,Level 17,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",90,93,55,70,55,55,418
Emboar,500,834,Mega Fire Pig Pokemon,1.6,150,Fire,Fighting,833,Level 36,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Reckless,Powers up moves that have recoil damage.,110,123,65,100,65,65,528
Oshawott,501,835,Sea Otter Pokemon,0.5,5.9,Water,,,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,55,55,45,63,45,45,308
Dewott,502,836,Discipline Pokemon,0.8,24.5,Water,,835,Level 17,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,75,75,60,83,60,60,413
Samurott,503,837,Formidable Pokemon,1.5,94.6,Water,,836,Level 36,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,95,100,85,108,70,70,528
Samurott,503,1629,Formidable Pokemon,1.5,58.2,Water,Dark,836,Level 36 in Hisui,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Sharpness,Powers up slicing moves.,90,108,80,100,65,85,528
Patrat,504,838,Scout Pokemon,0.5,11.6,Normal,,,,Run Away,Enables a sure getaway from wild Pokemon.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Analytic,Boosts move power when the Pokemon moves last.,45,55,39,35,39,42,255
Watchog,505,839,Lookout Pokemon,1.1,27,Normal,,838,Level 20,Illuminate,Raises the likelihood of meeting wild Pokemon by illuminating the surroundings.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Analytic,Boosts move power when the Pokemon moves last.,60,85,69,60,69,77,420
Lillipup,506,840,Puppy Pokemon,0.4,4.1,Normal,,,,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Run Away,Enables a sure getaway from wild Pokemon.,45,60,45,25,45,55,275
Herdier,507,841,Loyal Dog Pokemon,0.9,14.7,Normal,,840,Level 16,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,65,80,65,35,65,60,370
Stoutland,508,842,Big-Hearted Pokemon,1.2,61,Normal,,841,Level 32,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,85,110,90,45,90,80,500
Purrloin,509,843,Devious Pokemon,0.4,10.1,Dark,,,,Limber,Its limber body protects the Pokemon from paralysis.,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,Prankster,Gives priority to a status move.,41,50,37,50,37,66,281
Liepard,510,844,Cruel Pokemon,1.1,37.5,Dark,,843,Level 20,Limber,Its limber body protects the Pokemon from paralysis.,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,Prankster,Gives priority to a status move.,64,88,50,88,50,106,446
Pansage,511,845,Grass Monkey Pokemon,0.6,10.5,Grass,,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,50,53,48,53,48,64,316
Simisage,512,846,Thorn Monkey Pokemon,1.1,30.5,Grass,,845,Leaf Stone,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,75,98,63,98,63,101,498
Pansear,513,847,High Temp Pokemon,0.6,11,Fire,,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,50,53,48,53,48,64,316
Simisear,514,848,Ember Pokemon,1,28,Fire,,847,Fire Stone,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,75,98,63,98,63,101,498
Panpour,515,849,Spray Pokemon,0.6,13.5,Water,,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,50,53,48,53,48,64,316
Simipour,516,850,Geyser Pokemon,1,29,Water,,849,Water Stone,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,75,98,63,98,63,101,498
Munna,517,851,Dream Eater Pokemon,0.6,23.3,Psychic,,,,Forewarn,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Telepathy,Anticipates an ally's attack and dodges it.,76,25,45,67,55,24,292
Musharna,518,852,Drowsing Pokemon,1.1,60.5,Psychic,,851,Moon Stone,Forewarn,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Telepathy,Anticipates an ally's attack and dodges it.,116,55,85,107,95,29,487
Pidove,519,853,Tiny Pigeon Pokemon,0.3,2.1,Normal,Flying,,,Big Pecks,Protects the Pokemon from Defense-lowering effects.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",50,55,50,36,30,43,264
Tranquill,520,854,Wild Pigeon Pokemon,0.6,15,Normal,Flying,853,Level 21,Big Pecks,Protects the Pokemon from Defense-lowering effects.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",62,77,62,50,42,65,358
Unfezant,521,855,Proud Pokemon,1.2,29,Normal,Flying,854,Level 32,Big Pecks,Protects the Pokemon from Defense-lowering effects.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",80,115,80,65,55,93,488
Blitzle,522,856,Electrified Pokemon,0.8,29.8,Electric,,,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,45,60,32,50,32,76,295
Zebstrika,523,857,Thunderbolt Pokemon,1.6,79.5,Electric,,856,Level 27,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,75,100,63,80,63,116,497
Roggenrola,524,858,Mantle Pokemon,0.4,18,Rock,,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",55,75,85,25,25,15,280
Boldore,525,859,Ore Pokemon,0.9,102,Rock,,858,Level 25,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",70,105,105,50,40,20,390
Gigalith,526,860,Compressed Pokemon,1.7,260,Rock,,859,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Sand Stream,The Pokemon summons a sandstorm when it enters a battle.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",85,135,130,60,80,25,515
Woobat,527,861,Bat Pokemon,0.4,2.1,Psychic,Flying,,,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",Klutz,The Pokemon can't use any held items.,Simple,The stat changes the Pokemon receives are doubled.,65,45,43,55,43,72,323
Swoobat,528,862,Courting Pokemon,0.9,10.5,Psychic,Flying,861,,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",Klutz,The Pokemon can't use any held items.,Simple,The stat changes the Pokemon receives are doubled.,67,57,55,77,55,114,425
Drilbur,529,863,Mole Pokemon,0.3,8.5,Ground,,,,Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,60,85,40,30,45,68,328
Excadrill,530,864,Subterrene Pokemon,0.7,40.4,Ground,Steel,863,Level 31,Sand Rush,Boosts the Pokemon's Speed stat in a sandstorm.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,110,135,60,50,65,88,508
Audino,531,865,Hearing Pokemon,1.1,31,Normal,,,,Healer,Sometimes heals an ally's status condition.,Regenerator,Restores a little HP when withdrawn from battle.,Klutz,The Pokemon can't use any held items.,103,60,86,60,86,50,445
Audino,531,1563,Hearing Pokemon,1.5,32,Normal,Fairy,,,Healer,Sometimes heals an ally's status condition.,,,,,103,60,126,80,126,50,545
Timburr,532,866,Muscular Pokemon,0.6,12.5,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,75,80,55,25,35,35,305
Gurdurr,533,867,Muscular Pokemon,1.2,40,Fighting,,866,Level 25,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,85,105,85,40,50,40,405
Conkeldurr,534,868,Muscular Pokemon,1.4,87,Fighting,,867,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,105,140,95,55,65,45,505
Tympole,535,869,Tadpole Pokemon,0.5,4.5,Water,,,,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Hydration,Heals status conditions if it's raining.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,50,50,40,50,40,64,294
Palpitoad,536,870,Vibration Pokemon,0.8,17,Water,Ground,869,Level 25,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Hydration,Heals status conditions if it's raining.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,75,65,55,65,55,69,384
Seismitoad,537,871,Vibration Pokemon,1.5,62,Water,Ground,870,Level 36,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Poison Touch,May poison a target when the Pokemon makes contact.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,105,95,75,85,75,74,509
Throh,538,872,Judo Pokemon,1.3,55.5,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,120,100,85,30,85,45,465
Sawk,539,873,Karate Pokemon,1.4,41,Fighting,,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,75,125,75,30,75,85,465
Sewaddle,540,874,Sewing Pokemon,0.3,2.5,Bug,Grass,,,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",45,53,70,40,60,42,310
Swadloon,541,875,Leaf-Wrapped Pokemon,0.5,7.3,Bug,Grass,874,Level 20,Leaf Guard,Prevents status conditions in harsh sunlight.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",55,63,90,50,80,42,380
Leavanny,542,876,Nurturing Pokemon,1.2,20.5,Bug,Grass,875,,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",75,103,80,70,80,92,500
Venipede,543,877,Centipede Pokemon,0.4,5.3,Bug,Poison,,,Poison Point,Contact with the Pokemon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,30,45,59,30,39,57,260
Whirlipede,544,878,Curlipede Pokemon,1.2,58.5,Bug,Poison,877,Level 22,Poison Point,Contact with the Pokemon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,40,55,99,40,79,47,360
Scolipede,545,879,Megapede Pokemon,2.5,200.5,Bug,Poison,878,Level 30,Poison Point,Contact with the Pokemon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,60,100,89,55,69,112,485
Cottonee,546,880,Cotton Puff Pokemon,0.3,0.6,Grass,Fairy,,,Prankster,Gives priority to a status move.,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,40,27,60,37,50,66,280
Whimsicott,547,881,Windveiled Pokemon,0.7,6.6,Grass,Fairy,880,Sun Stone,Prankster,Gives priority to a status move.,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,60,67,85,77,75,116,480
Petilil,548,882,Bulb Pokemon,0.5,6.6,Grass,,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,45,35,50,70,50,30,280
Lilligant,549,883,Flowering Pokemon,1.1,16.3,Grass,,882,Sun Stone,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,70,60,75,110,75,90,480
Lilligant,549,1640,Spinning Pokemon,1.2,19.2,Grass,Fighting,882,Sun Stone in Hisui,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Hustle,"Boosts the Attack stat, but lowers accuracy.",Leaf Guard,Prevents status conditions in harsh sunlight.,70,105,75,50,75,105,480
Basculin,550,1623,Mellow Pokemon,1,18,Water,,,,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",Adaptability,Powers up moves of the same type as the Pokemon.,Mold Breaker,Moves can be used on the target regardless of its Abilities.,70,92,65,80,55,98,460
Basculin,550,1414,Hostile Pokemon,1,18,Water,,,,Rock Head,Protects the Pokemon from recoil damage.,Adaptability,Powers up moves of the same type as the Pokemon.,Mold Breaker,Moves can be used on the target regardless of its Abilities.,70,92,65,80,55,98,460
Basculin,550,885,Hostile Pokemon,1,18,Water,,,,Reckless,Powers up moves that have recoil damage.,Adaptability,Powers up moves of the same type as the Pokemon.,Mold Breaker,Moves can be used on the target regardless of its Abilities.,70,92,65,80,55,98,460
Sandile,551,886,Desert Croc Pokemon,0.7,15.2,Ground,Dark,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",Anger Point,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",50,72,35,35,35,65,292
Krokorok,552,887,Desert Croc Pokemon,1,33.4,Ground,Dark,886,Level 29,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",Anger Point,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",60,82,45,45,45,74,351
Krookodile,553,888,Intimidation Pokemon,1.5,96.3,Ground,Dark,887,Level 40,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",Anger Point,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",95,117,80,65,70,92,519
Darumaka,554,889,Zen Charm Pokemon,0.6,37.5,Fire,,,,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",70,90,45,15,45,50,315
Darumaka,554,1557,Zen Charm Pokemon,0.7,40,Ice,,,,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",70,90,45,15,45,50,315
Darmanitan,555,1554,Blazing Pokemon,1.3,92.9,Fire,Psychic,,,Zen Mode,Changes the Pokemon's shape when HP is half or less.,,,,,105,30,105,140,105,55,540
Darmanitan,555,1555,Zen Charm Pokemon,1.7,120,Ice,,1557,Ice Stone,Gorilla Tactics,Boosts the Pokemon's Attack stat but only allows the use of the first selected move.,,,Zen Mode,Changes the Pokemon's shape when HP is half or less.,105,140,55,30,55,95,480
Darmanitan,555,1556,Zen Charm Pokemon,1.7,120,Ice,Fire,,,Zen Mode,Changes the Pokemon's shape when HP is half or less.,,,,,105,160,55,30,55,135,540
Darmanitan,555,890,Blazing Pokemon,1.3,92.9,Fire,,889,Level 35,Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,Zen Mode,Changes the Pokemon's shape when HP is half or less.,105,140,55,30,55,95,480
Maractus,556,891,Cactus Pokemon,1,28,Grass,,,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",75,86,67,106,67,60,461
Dwebble,557,892,Rock Inn Pokemon,0.3,14.5,Bug,Rock,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokemon from critical hits.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,50,65,85,35,35,55,325
Crustle,558,893,Stone Home Pokemon,1.4,200,Bug,Rock,892,Level 34,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokemon from critical hits.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,70,105,125,65,75,45,485
Scraggy,559,894,Shedding Pokemon,0.6,11.8,Dark,Fighting,,,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",50,75,70,35,70,48,348
Scrafty,560,914,Hoodlum Pokemon,1.1,30,Dark,Fighting,894,Level 39,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",65,90,115,45,115,58,488
Sigilyph,561,915,Avianoid Pokemon,1.4,14,Psychic,Flying,,,Wonder Skin,Makes status moves more likely to miss.,Magic Guard,The Pokemon only takes damage from attacks.,Tinted Lens,"The Pokemon can use ""not very effective"" moves to deal regular damage.",72,58,80,103,80,97,490
Yamask,562,916,Spirit Pokemon,0.5,1.5,Ghost,,,,Mummy,Contact with the Pokemon changes the attacker's Ability to Mummy.,,,,,38,30,85,55,65,30,303
Yamask,562,1464,Spirit Pokemon,0.5,1.5,Ground,Ghost,,,Wandering Spirit,The Pokemon exchanges Abilities with a Pokemon that hits it with a move that makes direct contact.,,,,,38,55,85,30,65,30,303
Cofagrigus,563,917,Coffin Pokemon,1.7,76.5,Ghost,,916,Level 34,Mummy,Contact with the Pokemon changes the attacker's Ability to Mummy.,,,,,58,50,145,95,105,30,483
Tirtouga,564,918,Prototurtle Pokemon,0.7,16.5,Water,Rock,,,Solid Rock,Reduces the power of supereffective attacks taken.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Swift Swim,Boosts the Pokemon's Speed stat in rain.,54,78,103,53,45,22,355
Carracosta,565,919,Prototurtle Pokemon,1.2,81,Water,Rock,918,Level 37,Solid Rock,Reduces the power of supereffective attacks taken.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Swift Swim,Boosts the Pokemon's Speed stat in rain.,74,108,133,83,65,32,495
Archen,566,920,First Bird Pokemon,0.5,9.5,Rock,Flying,,,Defeatist,Halves the Pokemon's Attack and Sp. Atk stats when its HP becomes half or less.,,,,,55,112,45,74,45,70,401
Archeops,567,921,First Bird Pokemon,1.4,32,Rock,Flying,920,Level 37,Defeatist,Halves the Pokemon's Attack and Sp. Atk stats when its HP becomes half or less.,,,,,75,140,65,112,65,110,567
Trubbish,568,922,Trash Bag Pokemon,0.6,31,Poison,,,,Stench,"By releasing stench when attacking, this Pokemon may cause the target to flinch.",Sticky Hold,Items held by the Pokemon are stuck fast and cannot be removed by other Pokemon.,Aftermath,Damages the attacker if it contacts the Pokemon with a finishing hit.,50,50,62,40,62,65,329
Garbodor,569,923,Trash Heap Pokemon,1.9,107.3,Poison,,922,Level 36,Stench,"By releasing stench when attacking, this Pokemon may cause the target to flinch.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Aftermath,Damages the attacker if it contacts the Pokemon with a finishing hit.,80,95,82,60,82,75,474
Garbodor,569,1551,Trash Heap Pokemon,21,0,Poison,,,,Stench,"By releasing stench when attacking, this Pokemon may cause the target to flinch.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Aftermath,Damages the attacker if it contacts the Pokemon with a finishing hit.,80,95,82,60,82,75,474
Zorua,570,1617,Spiteful Fox Pokemon,0.7,12.5,Normal,Ghost,,,Illusion,Comes out disguised as the Pokemon in the party's last spot.,,,,,35,60,40,85,40,70,330
Zorua,570,939,Tricky Fox Pokemon,0.7,12.5,Dark,,,,Illusion,Comes out disguised as the Pokemon in the party's last spot.,,,,,40,65,40,80,40,65,330
Zoroark,571,940,Illusion Fox Pokemon,1.6,81.1,Dark,,939,Level 30,Illusion,Comes out disguised as the Pokemon in the party's last spot.,,,,,60,105,60,120,60,105,510
Zoroark,571,1619,Baneful Fox Pokemon,1.6,73,Normal,Ghost,1617,Level 30,Illusion,Comes out disguised as the Pokemon in the party's last spot.,,,,,60,105,60,120,60,105,510
Minccino,572,941,Chinchilla Pokemon,0.4,5.8,Normal,,,,Cute Charm,Contact with the Pokemon may cause infatuation.,Technician,Powers up the Pokemon's weaker moves.,Skill Link,Maximizes the number of times multistrike moves hit.,55,50,40,40,40,75,300
Cinccino,573,942,Scarf Pokemon,0.5,7.5,Normal,,941,Shiny Stone,Cute Charm,Contact with the Pokemon may cause infatuation.,Technician,Powers up the Pokemon's weaker moves.,Skill Link,Maximizes the number of times multistrike moves hit.,75,95,60,65,60,115,470
Gothita,574,943,Fixation Pokemon,0.4,5.8,Psychic,,,,Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Shadow Tag,This Pokemon steps on the opposing Pokemon's shadow to prevent it from escaping.,45,30,50,55,65,45,290
